Rythme machine : 20 respiration / min
Rythme inspiration spontanée : 12 respiration / min

temps (ms), commande pression (mmH2O), pression mesurée(mmH2O)
441575,100,136
441585,100,135
441595,100,134
441605,100,134
441615,100,131
441625,100,134
441635,100,131
441645,100,133
441655,100,131
441665,100,131
441675,100,131
441685,100,129
441695,100,130
441705,100,127
441715,100,128
441725,100,127
441735,100,125
441745,100,125
441755,100,124
441765,100,126
441775,100,126
441785,100,125
441795,100,125
441805,100,124
441815,100,122
441825,100,123
441835,100,120
441845,100,119
441855,100,119
441865,100,120
441875,100,119
441885,100,119
441895,100,120
441905,100,119
441915,100,119
441925,100,118
441935,100,119
441945,100,116
441955,100,118
441965,100,113
441975,100,115
441985,100,112
441995,100,114
442005,100,112
442015,100,114
442025,100,113
442035,100,114
442045,100,115
442055,100,114
442065,100,113
442075,100,112
442085,100,112
442095,100,111
442105,100,111
442115,100,111
442125,100,109
442135,100,111
442145,100,109
442155,100,109
442165,100,109
442175,100,109
442185,100,108
442195,100,108
442205,100,106
442215,100,108
442225,100,107
442235,100,107
442245,100,108
442255,100,105
442265,100,108
442275,100,105
442285,100,106
442295,100,105
442305,100,105
442315,100,105
442325,100,105
442335,100,105
442345,100,104
442355,100,103
442365,100,104
442375,100,102
442385,100,103
442395,100,103
442405,100,104
442415,100,103
442425,100,103
442435,100,102
442445,100,101
442455,100,101
442465,100,100
442475,100,101
442485,100,101
442495,100,100
442505,100,103
442515,100,99
442525,100,101
442535,100,100
442545,100,101
442555,100,98
442565,100,99
442575,100,98
442585,100,98
442595,100,98
442605,100,98
442615,100,98
442625,100,99
442635,100,99
442645,100,99
442655,100,98
442665,100,98
442675,100,98
442685,100,98
442695,100,97
442705,100,98
442715,100,97
442725,100,97
442735,100,96
442745,100,97
442755,100,97
442765,100,95
442775,100,97
442785,100,97
442795,100,96
442805,100,95
442815,100,96
442825,100,94
442835,100,95
442845,100,95
442855,100,97
442865,100,97
442875,100,95
442885,100,97
442895,100,97
442905,100,96
442915,100,94
442925,100,94
442935,100,94
442945,100,96
442955,100,95
442965,100,97
442975,100,97
442985,100,97
442995,100,95
443005,100,95
443015,100,95
443025,100,95
443035,100,95
443045,100,95
443055,100,96
443065,100,95
443075,100,96
443085,100,95
443095,100,96
443105,100,96
443115,100,96
443125,100,96
443135,100,95
443145,100,97
443155,100,95
443165,100,94
443175,270,94
443185,270,94
443195,270,97
443205,270,96
443215,270,98
443225,270,98
443235,270,98
443245,270,98
443255,270,98
443265,270,98
443275,270,98
443285,270,97
443295,270,98
443305,270,98
443315,270,99
443325,270,98
443335,270,98
443345,270,98
443355,270,131
443365,270,98
443375,270,155
443385,270,154
443395,270,176
443405,270,175
443415,270,193
443425,270,198
443435,270,205
443445,270,217
443455,270,213
443465,270,224
443475,270,221
443485,270,239
443495,270,233
443505,270,229
443515,270,233
443525,270,234
443535,270,239
443545,270,245
443555,270,242
443565,270,243
443575,270,244
443585,270,250
443595,270,255
443605,270,248
443615,250,260
443625,250,258
443635,250,252
443645,250,266
443655,250,261
443665,250,266
443675,250,264
443685,250,270
443695,250,266
443705,250,274
443715,250,256
443725,250,267
443735,250,258
443745,250,263
443755,250,252
443765,250,244
443775,250,246
443785,250,227
443795,250,222
443805,250,214
443815,250,209
443825,250,204
443835,250,205
443845,250,203
443855,250,203
443865,250,205
443875,250,205
443885,250,207
443895,250,205
443905,250,206
443915,250,206
443925,250,207
443935,250,207
443945,250,207
443955,250,207
443965,250,207
443975,250,207
443985,250,206
443995,250,207
444005,250,206
444015,250,207
444025,250,207
444035,250,207
444045,250,206
444055,250,207
444065,250,207
444075,250,207
444085,250,206
444095,250,207
444105,250,206
444115,250,206
444125,250,206
444135,250,207
444145,250,207
444155,250,206
444165,250,206
444175,100,206
444185,100,207
444195,100,207
444205,100,206
444215,100,207
444225,100,206
444235,100,207
444245,100,206
444255,100,206
444265,100,206
444275,100,205
444285,100,206
444295,100,205
444305,100,206
444315,100,205
444325,100,206
444335,100,206
444345,100,206
444355,100,205
444365,100,184
444375,100,179
444385,100,159
444395,100,155
444405,100,145
444415,100,141
444425,100,136
444435,100,134
444445,100,132
444455,100,131
444465,100,129
444475,100,131
444485,100,129
444495,100,133
444505,100,131
444515,100,134
444525,100,132
444535,100,132
444545,100,129
444555,100,129
444565,100,127
444575,100,127
444585,100,125
444595,100,125
444605,100,125
444615,100,124
444625,100,125
444635,100,124
444645,100,123
444655,100,124
444665,100,121
444675,100,122
444685,100,122
444695,100,122
444705,100,122
444715,100,120
444725,100,119
444735,100,119
444745,100,119
444755,100,119
444765,100,119
444775,100,120
444785,100,119
444795,100,119
444805,100,119
444815,100,119
444825,100,118
444835,100,117
444845,100,117
444855,100,117
444865,100,116
444875,100,117
444885,100,117
444895,100,116
444905,100,117
444915,100,118
444925,100,116
444935,100,117
444945,100,116
444955,100,118
444965,100,115
444975,100,117
444985,100,116
444995,100,114
445005,100,116
445015,100,115
445025,100,117
445035,100,116
445045,100,117
445055,100,117
445065,100,116
445075,100,117
445085,100,115
445095,100,115
445105,100,117
445115,100,115
445125,100,115
445135,100,113
445145,100,114
445155,100,114
445165,100,112
445175,100,112
445185,100,113
445195,100,112
445205,100,110
445215,100,110
445225,100,111
445235,100,110
445245,100,110
445255,100,109
445265,100,109
445275,100,109
445285,100,110
445295,100,109
445305,100,110
445315,100,107
445325,100,109
445335,100,106
445345,100,107
445355,100,106
445365,100,105
445375,100,107
445385,100,105
445395,100,107
445405,100,105
445415,100,106
445425,100,105
445435,100,105
445445,100,105
445455,100,104
445465,100,103
445475,100,104
445485,100,103
445495,100,104
445505,100,104
445515,100,104
445525,100,102
445535,100,104
445545,100,101
445555,100,101
445565,100,101
445575,100,100
445585,100,101
445595,100,100
445605,100,100
445615,100,100
445625,100,100
445635,100,101
445645,100,100
445655,100,101
445665,100,100
445675,100,100
445685,100,98
445695,100,98
445705,100,98
445715,100,98
445725,100,99
445735,100,99
445745,100,99
445755,100,100
445765,100,98
445775,100,98
445785,100,98
445795,100,98
445805,100,98
445815,100,97
445825,100,98
445835,100,97
445845,100,97
445855,100,98
445865,100,97
445875,100,97
445885,100,96
445895,100,95
445905,100,95
445915,100,94
445925,100,95
445935,100,94
445945,100,95
445955,100,97
445965,100,97
445975,100,98
445985,100,96
445995,100,97
446005,100,98
446015,100,96
446025,100,96
446035,100,94
446045,100,96
446055,100,95
446065,100,95
446075,100,97
446085,100,97
446095,100,96
446105,100,95
446115,100,95
446125,100,95
446135,100,95
446145,100,95
446155,100,95
446165,100,95
446175,270,96
446185,270,95
446195,270,96
446205,270,96
446215,270,97
446225,270,98
446235,270,98
446245,270,99
446255,270,98
446265,270,98
446275,270,98
446285,270,99
446295,270,98
446305,270,98
446315,270,98
446325,270,98
446335,270,98
446345,270,98
446355,270,135
446365,270,108
446375,270,156
446385,270,150
446395,270,176
446405,270,184
446415,270,196
446425,270,196
446435,270,207
446445,270,218
446455,270,220
446465,270,222
446475,270,225
446485,270,229
446495,270,234
446505,270,233
446515,270,247
446525,270,231
446535,270,243
446545,270,247
446555,270,242
446565,270,245
446575,270,248
446585,250,260
446595,250,252
446605,250,255
446615,250,258
446625,250,256
446635,250,261
446645,250,263
446655,250,263
446665,250,261
446675,250,263
446685,250,265
446695,250,253
446705,250,254
446715,250,250
446725,250,249
446735,250,241
446745,250,233
446755,250,224
446765,250,215
446775,250,206
446785,250,204
446795,250,200
446805,250,198
446815,250,196
446825,250,195
446835,250,199
446845,250,198
446855,250,201
446865,250,199
446875,250,201
446885,250,200
446895,250,200
446905,250,200
446915,250,201
446925,250,200
446935,250,200
446945,250,200
446955,250,201
446965,250,200
446975,250,199
446985,250,199
446995,250,200
447005,250,199
447015,250,199
447025,250,200
447035,250,200
447045,250,200
447055,250,200
447065,250,200
447075,250,200
447085,250,200
447095,250,200
447105,250,200
447115,250,200
447125,250,200
447135,250,200
447145,250,200
447155,250,200
447165,250,200
447175,100,199
447185,100,201
447195,100,199
447205,100,199
447215,100,200
447225,100,199
447235,100,200
447245,100,200
447255,100,200
447265,100,200
447275,100,200
447285,100,199
447295,100,200
447305,100,199
447315,100,199
447325,100,199
447335,100,199
447345,100,199
447355,100,198
447365,100,178
447375,100,175
447385,100,158
447395,100,151
447405,100,146
447415,100,142
447425,100,137
447435,100,139
447445,100,134
447455,100,135
447465,100,136
447475,100,135
447485,100,139
447495,100,137
447505,100,140
447515,100,138
447525,100,138
447535,100,137
447545,100,135
447555,100,135
447565,100,132
447575,100,134
447585,100,130
447595,100,132
447605,100,130
447615,100,129
447625,100,130
447635,100,128
447645,100,130
447655,100,128
447665,100,128
447675,100,128
447685,100,127
447695,100,127
447705,100,126
447715,100,125
447725,100,125
447735,100,125
447745,100,122
447755,100,122
447765,100,122
447775,100,121
447785,100,122
447795,100,122
447805,100,122
447815,100,121
447825,100,120
447835,100,120
447845,100,119
447855,100,118
447865,100,118
447875,100,117
447885,100,116
447895,100,116
447905,100,116
447915,100,117
447925,100,116
447935,100,116
447945,100,116
447955,100,116
447965,100,113
447975,100,114
447985,100,112
447995,100,112
448005,100,112
448015,100,112
448025,100,112
448035,100,113
448045,100,112
448055,100,111
448065,100,112
448075,100,110
448085,100,111
448095,100,109
448105,100,109
448115,100,109
448125,100,108
448135,100,108
448145,100,106
448155,100,106
448165,100,108
448175,100,107
448185,100,108
448195,100,109
448205,100,106
448215,100,108
448225,100,105
448235,100,105
448245,100,105
448255,100,105
448265,100,105
448275,100,106
448285,100,105
448295,100,106
448305,100,103
448315,100,104
448325,100,102
448335,100,104
448345,100,102
448355,100,103
448365,100,101
448375,100,103
448385,100,102
448395,100,102
448405,100,103
448415,100,101
448425,100,102
448435,100,100
448445,100,102
448455,100,100
448465,100,99
448475,100,99
448485,100,99
448495,100,100
448505,100,100
448515,100,101
448525,100,98
448535,100,99
448545,100,98
448555,100,98
448565,100,98
448575,100,98
448585,100,98
448595,100,98
448605,100,98
448615,100,98
448625,100,98
448635,100,98
448645,100,98
448655,100,97
448665,100,97
448675,100,97
448685,100,96
448695,100,96
448705,100,95
448715,100,96
448725,100,96
448735,100,96
448745,100,96
448755,100,97
448765,100,95
448775,100,98
448785,100,96
448795,100,97
448805,100,95
448815,100,96
448825,100,96
448835,100,95
448845,100,94
448855,100,95
448865,100,97
448875,100,96
448885,100,97
448895,100,96
448905,100,96
448915,100,95
448925,100,95
448935,100,96
448945,100,96
448955,100,96
448965,100,97
448975,100,97
448985,100,96
448995,100,96
449005,100,96
449015,100,94
449025,100,95
449035,100,95
449045,100,95
449055,100,96
449065,100,96
449075,100,97
449085,100,96
449095,100,96
449105,100,96
449115,100,95
449125,100,97
449135,100,95
449145,100,97
449155,100,95
449165,100,96
449175,270,97
449185,270,97
449195,270,98
449205,270,97
449215,270,97
449225,270,98
449235,270,98
449245,270,98
449255,270,98
449265,270,98
449275,270,98
449285,270,98
449295,270,98
449305,270,98
449315,270,98
449325,270,98
449335,270,98
449345,270,98
449355,270,128
449365,270,113
449375,270,151
449385,270,162
449395,270,170
449405,270,186
449415,270,181
449425,270,200
449435,270,194
449445,270,208
449455,270,212
449465,270,213
449475,270,220
449485,270,212
449495,270,218
449505,270,222
449515,270,219
449525,270,226
449535,270,231
449545,270,230
449555,270,235
449565,270,234
449575,270,226
449585,270,245
449595,270,246
449605,270,245
449615,270,239
449625,270,246
449635,270,244
449645,270,254
449655,270,256
449665,270,258
449675,270,254
449685,250,264
449695,250,262
449705,250,263
449715,250,263
449725,250,269
449735,250,269
449745,250,263
449755,250,281
449765,250,269
449775,250,272
449785,250,277
449795,250,270
449805,250,264
449815,250,266
449825,250,263
449835,250,255
449845,250,253
449855,250,239
449865,250,234
449875,250,224
449885,250,220
449895,250,216
449905,250,217
449915,250,214
449925,250,215
449935,250,218
449945,250,217
449955,250,221
449965,250,219
449975,250,222
449985,250,221
449995,250,222
450005,250,223
450015,250,223
450025,250,224
450035,250,224
450045,250,225
450055,250,226
450065,250,226
450075,250,227
450085,250,228
450095,250,227
450105,250,228
450115,250,229
450125,250,228
450135,250,228
450145,250,228
450155,250,228
450165,250,228
450175,100,227
450185,100,229
450195,100,228
450205,100,228
450215,100,228
450225,100,228
450235,100,229
450245,100,228
450255,100,229
450265,100,228
450275,100,229
450285,100,228
450295,100,228
450305,100,229
450315,100,228
450325,100,229
450335,100,229
450345,100,228
450355,100,228
450365,100,207
450375,100,201
450385,100,186
450395,100,179
450405,100,170
450415,100,164
450425,100,158
450435,100,155
450445,100,153
450455,100,151
450465,100,149
450475,100,150
450485,100,150
450495,100,152
450505,100,150
450515,100,152
450525,100,151
450535,100,149
450545,100,149
450555,100,147
450565,100,146
450575,100,146
450585,100,142
450595,100,143
450605,100,141
450615,100,142
450625,100,141
450635,100,139
450645,100,142
450655,100,137
450665,100,141
