Rythme machine : 20 respiration / min
Rythme inspiration spontanée : 12 respiration / min

temps (ms), commande pression (mmH2O), pression mesurée(mmH2O)
19300,100,105
19310,100,105
19320,100,105
19330,100,104
19340,100,105
19350,100,104
19360,100,105
19370,100,102
19380,100,103
19390,100,103
19400,100,102
19410,100,104
19420,100,100
19430,100,103
19440,100,101
19450,100,102
19460,100,101
19470,100,101
19480,100,102
19490,100,99
19500,100,101
19510,100,100
19520,100,100
19530,100,101
19540,100,100
19550,100,100
19560,100,99
19570,100,99
19580,100,98
19590,100,99
19600,100,99
19610,100,98
19620,100,98
19630,100,98
19640,100,98
19650,100,98
19660,100,98
19670,100,98
19680,100,98
19690,100,98
19700,100,97
19710,100,96
19720,100,97
19730,100,96
19740,100,98
19750,100,98
19760,100,97
19770,100,96
19780,100,96
19790,100,95
19800,100,96
19810,100,95
19820,100,96
19830,100,97
19840,100,96
19850,100,97
19860,100,96
19870,100,97
19880,100,95
19890,100,96
19900,100,96
19910,100,96
19920,100,96
19930,100,96
19940,100,95
19950,100,96
19960,100,95
19970,100,97
19980,100,97
19990,100,97
20000,100,97
20010,100,95
20020,100,96
20030,100,96
20040,100,96
20050,100,96
20060,100,96
20070,100,96
20080,100,95
20090,100,96
20100,100,95
20110,100,96
20120,100,96
20130,100,95
20140,100,97
20150,100,98
20160,270,97
20170,270,96
20180,270,96
20190,270,96
20200,270,97
20210,270,98
20220,270,99
20230,270,98
20240,270,98
20250,270,98
20260,270,98
20270,270,98
20280,270,98
20290,270,98
20300,270,98
20310,270,98
20320,270,98
20330,270,104
20340,270,129
20350,270,125
20360,270,152
20370,270,165
20380,270,170
20390,270,183
20400,270,188
20410,270,198
20420,270,198
20430,270,202
20440,270,216
20450,270,214
20460,270,221
20470,270,228
20480,270,222
20490,270,223
20500,270,229
20510,270,221
20520,270,241
20530,270,242
20540,270,226
20550,270,244
20560,270,227
20570,270,259
20580,270,234
20590,270,244
20600,270,250
20610,270,246
20620,270,255
20630,270,248
20640,270,253
20650,270,259
20660,270,258
20670,250,263
20680,250,260
20690,250,264
20700,250,257
20710,250,273
20720,250,258
20730,250,275
20740,250,270
20750,250,270
20760,250,265
20770,250,263
20780,250,267
20790,250,261
20800,250,261
20810,250,256
20820,250,250
20830,250,240
20840,250,238
20850,250,232
20860,250,221
20870,250,216
20880,250,218
20890,250,212
20900,250,214
20910,250,213
20920,250,216
20930,250,215
20940,250,217
20950,250,217
20960,250,218
20970,250,217
20980,250,218
20990,250,217
21000,250,217
21010,250,217
21020,250,216
21030,250,217
21040,250,217
21050,250,217
21060,250,217
21070,250,218
21080,250,217
21090,250,217
21100,250,217
21110,250,217
21120,250,216
21130,250,217
21140,250,217
21150,250,216
21160,100,217
21170,100,217
21180,100,217
21190,100,218
21200,100,217
21210,100,217
21220,100,217
21230,100,217
21240,100,217
21250,100,217
21260,100,216
21270,100,218
21280,100,216
21290,100,216
21300,100,216
21310,100,217
21320,100,216
21330,100,217
21340,100,205
21350,100,190
21360,100,184
21370,100,165
21380,100,164
21390,100,154
21400,100,153
21410,100,148
21420,100,147
21430,100,146
21440,100,143
21450,100,146
21460,100,144
21470,100,146
21480,100,144
21490,100,147
21500,100,144
21510,100,145
21520,100,141
21530,100,141
21540,100,141
21550,100,137
21560,100,141
21570,100,136
21580,100,140
21590,100,137
21600,100,136
21610,100,135
21620,100,134
21630,100,134
21640,100,134
21650,100,134
21660,100,134
21670,100,132
21680,100,132
21690,100,131
21700,100,130
21710,100,129
21720,100,129
21730,100,127
21740,100,127
21750,100,127
21760,100,127
21770,100,127
21780,100,126
21790,100,127
21800,100,124
21810,100,124
21820,100,123
21830,100,123
21840,100,122
21850,100,122
21860,100,122
21870,100,121
21880,100,121
21890,100,121
21900,100,120
21910,100,119
21920,100,119
21930,100,119
21940,100,118
21950,100,118
21960,100,117
21970,100,117
21980,100,116
21990,100,115
22000,100,115
22010,100,115
22020,100,116
22030,100,115
22040,100,115
22050,100,114
22060,100,114
22070,100,114
22080,100,112
22090,100,112
22100,100,112
22110,100,112
22120,100,112
22130,100,111
22140,100,111
22150,100,110
22160,100,110
22170,100,111
22180,100,110
22190,100,111
22200,100,108
22210,100,109
22220,100,107
22230,100,106
22240,100,108
22250,100,106
22260,100,108
22270,100,107
22280,100,107
22290,100,107
22300,100,105
22310,100,106
22320,100,105
22330,100,105
22340,100,105
22350,100,106
22360,100,105
22370,100,105
22380,100,103
22390,100,104
22400,100,103
22410,100,104
22420,100,103
22430,100,104
22440,100,103
22450,100,102
22460,100,102
22470,100,101
22480,100,102
22490,100,102
22500,100,102
22510,100,101
22520,100,101
22530,100,101
22540,100,99
22550,100,101
22560,100,100
22570,100,100
22580,100,99
22590,100,100
22600,100,99
22610,100,98
22620,100,99
22630,100,98
22640,100,99
22650,100,99
22660,100,98
22670,100,98
22680,100,98
22690,100,98
22700,100,98
22710,100,98
22720,100,97
22730,100,97
22740,100,98
22750,100,97
22760,100,98
22770,100,96
22780,100,96
22790,100,96
22800,100,96
22810,100,96
22820,100,96
22830,100,95
22840,100,96
22850,100,96
22860,100,96
22870,100,96
22880,100,98
22890,100,97
22900,100,97
22910,100,96
22920,100,96
22930,100,96
22940,100,95
22950,100,96
22960,100,96
22970,100,97
22980,100,96
22990,100,96
23000,100,96
23010,100,96
23020,100,96
23030,100,95
23040,100,96
23050,100,97
23060,100,98
23070,100,96
23080,100,96
23090,100,95
23100,100,96
23110,100,95
23120,100,96
23130,100,96
23140,100,96
23150,100,97
23160,270,97
23170,270,96
23180,270,96
23190,270,96
23200,270,97
23210,270,98
23220,270,98
23230,270,99
23240,270,99
23250,270,98
23260,270,98
23270,270,97
23280,270,98
23290,270,98
23300,270,98
23310,270,98
23320,270,98
23330,270,104
23340,270,134
23350,270,126
23360,270,152
23370,270,166
23380,270,175
23390,270,191
23400,270,194
23410,270,198
23420,270,205
23430,270,205
23440,270,219
23450,270,220
23460,270,219
23470,270,221
23480,270,216
23490,270,228
23500,270,226
23510,270,233
23520,270,234
23530,270,227
23540,270,237
23550,270,237
23560,270,242
23570,270,245
23580,270,246
23590,270,239
23600,270,256
23610,270,241
23620,270,255
23630,270,251
23640,270,257
23650,270,252
23660,250,268
23670,250,253
23680,250,262
23690,250,264
23700,250,268
23710,250,261
23720,250,278
23730,250,263
23740,250,280
23750,250,268
23760,250,275
23770,250,264
23780,250,261
23790,250,266
23800,250,255
23810,250,250
23820,250,246
23830,250,232
23840,250,229
23850,250,219
23860,250,216
23870,250,213
23880,250,213
23890,250,212
23900,250,212
23910,250,214
23920,250,213
23930,250,217
23940,250,215
23950,250,215
23960,250,215
23970,250,215
23980,250,216
23990,250,215
24000,250,216
24010,250,215
24020,250,215
24030,250,215
24040,250,215
24050,250,216
24060,250,215
24070,250,215
24080,250,215
24090,250,214
24100,250,215
24110,250,216
24120,250,216
24130,250,215
24140,250,215
24150,250,215
24160,100,214
24170,100,215
24180,100,214
24190,100,216
24200,100,215
24210,100,215
24220,100,215
24230,100,215
24240,100,215
24250,100,214
24260,100,215
24270,100,215
24280,100,216
24290,100,215
24300,100,215
24310,100,213
24320,100,215
24330,100,215
24340,100,204
24350,100,188
24360,100,180
24370,100,162
24380,100,165
24390,100,152
24400,100,152
24410,100,146
24420,100,148
24430,100,143
24440,100,145
24450,100,145
24460,100,145
24470,100,146
24480,100,146
24490,100,145
24500,100,144
24510,100,142
24520,100,142
24530,100,141
24540,100,141
24550,100,141
24560,100,137
24570,100,141
24580,100,135
24590,100,139
24600,100,134
24610,100,137
24620,100,132
24630,100,134
24640,100,130
24650,100,133
24660,100,131
24670,100,133
24680,100,131
24690,100,130
24700,100,130
24710,100,129
24720,100,128
24730,100,128
24740,100,127
24750,100,126
24760,100,127
24770,100,125
24780,100,127
24790,100,124
24800,100,127
24810,100,123
24820,100,123
24830,100,121
24840,100,120
24850,100,121
24860,100,120
24870,100,121
24880,100,120
24890,100,120
24900,100,120
24910,100,119
24920,100,119
24930,100,119
24940,100,118
24950,100,118
24960,100,116
24970,100,116
24980,100,116
24990,100,116
25000,100,114
25010,100,117
25020,100,116
25030,100,114
25040,100,114
25050,100,113
25060,100,113
25070,100,112
25080,100,113
25090,100,112
25100,100,112
25110,100,112
25120,100,111
25130,100,111
25140,100,111
25150,100,111
25160,100,110
25170,100,110
25180,100,109
25190,100,108
25200,100,109
25210,100,107
25220,100,108
25230,100,109
25240,100,107
25250,100,109
25260,100,105
25270,100,105
25280,100,106
25290,100,105
25300,100,107
25310,100,105
25320,100,106
25330,100,102
25340,100,106
25350,100,104
25360,100,105
25370,100,104
25380,100,105
25390,100,103
25400,100,104
25410,100,103
25420,100,104
25430,100,102
25440,100,103
25450,100,101
25460,100,102
25470,100,102
25480,100,101
25490,100,101
25500,100,100
25510,100,100
25520,100,100
25530,100,101
25540,100,101
25550,100,101
25560,100,99
25570,100,100
25580,100,99
25590,100,98
25600,100,99
25610,100,98
25620,100,99
25630,100,100
25640,100,99
25650,100,98
25660,100,98
25670,100,98
25680,100,98
25690,100,98
25700,100,98
25710,100,98
25720,100,98
25730,100,96
25740,100,97
25750,100,96
25760,100,97
25770,100,96
25780,100,97
25790,100,96
25800,100,96
25810,100,96
25820,100,96
25830,100,97
25840,100,96
25850,100,97
25860,100,97
25870,100,97
25880,100,96
25890,100,96
25900,100,96
25910,100,95
25920,100,96
25930,100,95
25940,100,97
25950,100,96
25960,100,96
25970,100,96
25980,100,95
25990,100,96
26000,100,95
26010,100,96
26020,100,96
26030,100,96
26040,100,96
26050,100,95
26060,100,96
26070,100,95
26080,100,96
26090,100,96
26100,100,96
26110,100,97
26120,100,96
26130,100,97
26140,100,96
26150,100,95
26160,270,96
26170,270,96
26180,270,97
26190,270,98
26200,270,98
26210,270,98
26220,270,98
26230,270,98
26240,270,98
26250,270,98
26260,270,98
26270,270,98
26280,270,98
26290,270,97
26300,270,98
26310,270,98
26320,270,98
26330,270,103
26340,270,132
26350,270,130
26360,270,153
26370,270,167
26380,270,174
26390,270,182
26400,270,180
26410,270,199
26420,270,204
26430,270,210
26440,270,214
26450,270,213
26460,270,227
26470,270,227
26480,270,226
26490,270,227
26500,270,227
26510,270,234
26520,270,240
26530,270,234
26540,270,236
26550,270,246
26560,270,241
26570,270,248
26580,270,247
26590,270,243
26600,270,258
26610,270,246
26620,270,254
26630,270,254
26640,270,251
26650,270,258
26660,270,255
26670,250,270
26680,250,263
26690,250,261
26700,250,267
26710,250,273
26720,250,270
26730,250,265
26740,250,267
26750,250,277
26760,250,267
26770,250,265
26780,250,264
26790,250,256
26800,250,268
26810,250,262
26820,250,248
26830,250,247
26840,250,231
26850,250,234
26860,250,221
26870,250,217
26880,250,215
26890,250,213
26900,250,214
26910,250,214
26920,250,216
26930,250,216
26940,250,218
26950,250,217
26960,250,218
26970,250,217
26980,250,218
26990,250,218
27000,250,217
27010,250,218
27020,250,217
27030,250,217
27040,250,218
27050,250,217
27060,250,218
27070,250,218
27080,250,218
27090,250,218
27100,250,217
27110,250,217
27120,250,218
27130,250,217
27140,250,217
27150,250,217
27160,100,217
27170,100,217
27180,100,218
27190,100,217
27200,100,217
27210,100,218
27220,100,217
27230,100,218
27240,100,216
27250,100,217
27260,100,217
27270,100,218
27280,100,216
27290,100,218
27300,100,218
27310,100,217
27320,100,217
27330,100,217
27340,100,208
27350,100,190
27360,100,184
27370,100,166
27380,100,165
27390,100,152
27400,100,156
27410,100,145
27420,100,149
27430,100,144
27440,100,143
27450,100,144
27460,100,145
27470,100,146
27480,100,145
27490,100,146
27500,100,145
27510,100,146
27520,100,143
27530,100,142
27540,100,140
27550,100,141
27560,100,140
27570,100,139
27580,100,141
27590,100,135
27600,100,138
27610,100,134
27620,100,136
27630,100,133
27640,100,135
27650,100,131
27660,100,134
27670,100,131
27680,100,132
27690,100,131
27700,100,131
27710,100,130
27720,100,129
27730,100,129
27740,100,128
27750,100,127
27760,100,127
27770,100,126
27780,100,127
27790,100,125
27800,100,124
27810,100,125
27820,100,124
27830,100,124
27840,100,123
27850,100,121
27860,100,123
27870,100,119
27880,100,121
27890,100,119
27900,100,120
27910,100,119
27920,100,119
27930,100,119
27940,100,119
27950,100,119
27960,100,118
27970,100,117
27980,100,116
27990,100,117
28000,100,114
28010,100,116
28020,100,115
28030,100,114
28040,100,114
28050,100,114
28060,100,114
28070,100,114
28080,100,112
28090,100,112
28100,100,112
28110,100,112
28120,100,112
28130,100,112
28140,100,110
28150,100,112
28160,100,110
28170,100,111
28180,100,110
28190,100,109
28200,100,109
28210,100,108
28220,100,108
28230,100,108
28240,100,108
28250,100,107
28260,100,109
28270,100,106
28280,100,108
28290,100,105
28300,100,106
28310,100,105
28320,100,104
28330,100,107
28340,100,104
28350,100,106
28360,100,104
28370,100,105
28380,100,103
28390,100,105
28400,100,103
28410,100,103
28420,100,104
28430,100,104
28440,100,104
28450,100,101
28460,100,102
28470,100,100
28480,100,102
28490,100,101
28500,100,103
28510,100,102
28520,100,102
28530,100,101
28540,100,100
28550,100,99
28560,100,100
28570,100,100
28580,100,101
28590,100,100
28600,100,98
28610,100,99
28620,100,99
28630,100,99
28640,100,99
28650,100,99
28660,100,99
28670,100,99
28680,100,98
28690,100,98
28700,100,97
28710,100,97
